t,Velocity
0.0,3.048
1.0,3.310128
2.0,3.0388560000000004
3.0,3.041904
4.0,3.048
5.0,2.5847040000000003
6.0,3.048
7.0,3.048
8.0,3.361944
9.0,3.557016
10.0,3.557016
11.0,4.86156
12.0,5.0078640000000005
13.0,4.913376
14.0,4.727448
15.0,4.727448
16.0,3.624072
17.0,4.276344
18.0,5.218176000000001
19.0,7.324344000000001
20.0,7.552944000000001
21.0,7.62
22.0,7.540752075576676
23.0,7.62
24.0,7.510272087203855
25.0,4.230624313933882
26.0,3.681984
27.0,4.0111680000000005
28.0,2.2951443052134963
29.0,2.0848319970932048
30.0,2.084832
31.0,3.6697917209476607
32.0,3.861816
33.0,3.861816
34.0,6.483095540726358
35.0,6.879336
36.0,6.784847880821398
37.0,6.437376078483471
38.0,6.4008
39.0,6.403848000000001
40.0,5.897879956398072
41.0,4.181856165687327
42.0,3.048
43.0,3.048
44.0,2.5572718691942162
45.0,3.048
46.0,3.048
47.0,3.023615997093205
48.0,3.151632
49.0,3.148584
50.0,3.07543207266988
51.0,3.069336046508831
52.0,3.047999997093198
53.0,3.0693359854659907
54.0,3.048
55.0,2.5938479549445703
56.0,3.048
57.0,3.048
58.0,2.8986481104584727
59.0,3.557016
60.0,3.557016
61.0,4.282440159874105
62.0,4.919472042148628
63.0,5.020055982559189
64.0,4.727448
65.0,4.727448
66.0,3.08152804214864
67.0,4.276344
68.0,4.684776123539119
69.0,6.78484814534014
70.0,7.470648023254423
71.0,7.5986639534911555
72.0,6.208776094471091
73.0,6.0899040029068034
74.0,6.092951994186395
75.0,5.9954160000000005
76.0,5.9954160000000005
77.0,5.9954160000000005
78.0,6.175248000000001
79.0,5.702807995639797
80.0,6.086855970931972
81.0,6.096
82.0,5.925312062496074
83.0,6.089904002906795
84.0,6.967727957851485
85.0,7.629143997093207
86.0,6.3459360668562645
87.0,6.071615992733015
88.0,6.150864
89.0,5.513831851753499
90.0,5.30961618312803
91.0,4.474464
92.0,4.462272008720383
93.0,4.474464001453398
94.0,3.2461202514376915
95.0,2.017776001453397
96.0,2.017776
97.0,2.017776
98.0,2.508503888088427
99.0,2.5115521090047794
100.0,2.996184
101.0,3.5051998851816326
102.0,4.0111680000000005
103.0,4.0111680000000005
104.0,4.087367982559236
105.0,4.166616
106.0,4.166616
107.0,3.8100000595892793
108.0,4.014216
109.0,4.014216
110.0,4.038600052322305
111.0,4.5720000087203845
112.0,4.581143995639808
113.0,4.559807960758272
114.0,4.462272130805761
115.0,3.334511969478656
116.0,3.048
117.0,3.048
118.0,3.721607799431166
119.0,3.7673280436019203
120.0,3.81
121.0,4.995671681705981
122.0,5.123688
123.0,5.123688
124.0,5.120640000000001
125.0,5.120640000000001
126.0,6.876287433175034
127.0,6.909816183128067
128.0,7.50722376454963
129.0,6.879336588625926
130.0,7.67181572094771
131.0,7.6962
132.0,7.4645520043601925
133.0,7.4676
134.0,7.4676
135.0,5.782056082843649
136.0,5.80644
137.0,3.075432379336708
138.0,2.974848
139.0,1.8897606685628068
140.0,2.5633676003157135
141.0,3.048
142.0,3.048
143.0,3.048
144.0,3.048
145.0,3.048
146.0,3.048
147.0,3.048
148.0,3.048
149.0,3.048
150.0,4.163567157029505
151.0,4.53847138957309
152.0,4.779264
153.0,4.776216
154.0,4.748784036334936
155.0,3.450336893839405
156.0,4.718304000000001
157.0,4.349496545024027
158.0,5.31266319336444
159.0,5.629655723854492
160.0,6.095999963665065
161.0,6.376416203475638
162.0,6.370319941864104
163.0,6.092952
164.0,6.096
165.0,6.095999949131091
166.0,6.303264
167.0,6.303264
168.0,6.5928238314057
169.0,6.089903997093207
170.0,6.096
171.0,6.053327872101059
172.0,6.580631802338001
173.0,7.629143973838854
174.0,6.544056325560941
175.0,6.095999994186412
176.0,6.150864002906794
177.0,6.150864
178.0,6.153911994186413
179.0,4.468367994186412
180.0,4.474464
181.0,4.288535918609766
182.0,4.480559994186412
183.0,2.011680002906794
184.0,2.017776
185.0,2.017776
186.0,2.017776002906794
187.0,2.9992320058135884
188.0,2.996183947677706
189.0,2.9931360029067937
190.0,4.014216005813588
191.0,4.0111680000000005
192.0,4.0111680000000005
193.0,4.166616
194.0,4.166616
195.0,4.169663997093206
196.0,4.023359979652441
197.0,4.014216
198.0,4.035551973838853
199.0,4.288535604675942
200.0,4.572
201.0,4.181856023254357
202.0,4.572
203.0,3.9441119651184655
204.0,3.0693361802212626
205.0,3.048
206.0,3.0388560000000004
207.0,3.813047994186411
208.0,3.813047976745644
209.0,3.828287947677698
210.0,5.123688
211.0,5.123688
212.0,4.953
213.0,5.120640000000001
214.0,5.181599895355396
215.0,7.056120180221262
216.0,6.367271726761313
217.0,7.626095988372822
218.0,4.855463691879777
219.0,7.6962
220.0,7.638288075576659
221.0,7.4676
222.0,7.4676
223.0,7.0134485290366095
224.0,5.791199924423341
225.0,5.443728505782252
226.0,2.974848
227.0,2.4566886743763363
228.0,2.176271502938107
229.0,3.0510480174407686
230.0,3.048
231.0,3.048
232.0,2.4963125232230454
233.0,3.048
234.0,3.048
235.0,3.048
236.0,3.048
237.0,3.048
238.0,3.0358080174407687
239.0,4.459224313933828
240.0,4.782312
