t,Velocity
0.0,8.8392
1.0,8.8392
2.0,8.650224
3.0,9.000744000000001
4.0,8.912352
5.0,9.25068
6.0,9.25068
7.0,8.409432
8.0,7.379208
9.0,8.257032
10.0,7.616951999999999
11.0,7.62
12.0,7.607808
13.0,8.302752
14.0,8.311896
15.0,8.787384
16.0,8.79348
17.0,9.140952
18.0,9.137904
19.0,9.229344
20.0,9.140952
21.0,8.644128
22.0,9.0678
23.0,8.695944247077593
24.0,9.061704014533976
25.0,8.546592203475665
26.0,9.05255981105831
27.0,8.016240343001833
28.0,7.62000020638246
29.0,9.125712008720386
30.0,9.793224084297062
31.0,9.299447982559231
32.0,8.497824002906794
33.0,9.528047997093205
34.0,9.525
35.0,10.265663982559229
36.0,9.192768107551421
37.0,10.402824069763085
38.0,10.22604
39.0,9.689592087203856
40.0,9.521952002906795
41.0,9.110472020347567
42.0,8.927592
43.0,9.0190319389573
44.0,9.031224148246555
45.0,9.144
46.0,9.204959965118457
47.0,9.625584087203856
48.0,9.143999979652433
49.0,9.144
50.0,8.94588
51.0,8.8392
52.0,8.793479954944678
53.0,9.000744000000001
54.0,9.006839988372821
55.0,9.128760040695129
56.0,9.25068
57.0,8.702039922969933
58.0,7.424927981105833
59.0,8.336279960758269
60.0,7.629144000000001
