t,Velocity
0.0,4.983480000000001
1.0,5.044440000000001
2.0,6.096
3.0,6.699504
4.0,7.272528
5.0,7.263384
6.0,7.263384
7.0,6.236208
8.0,6.245352
9.0,5.9954160000000005
10.0,6.028944000000001
11.0,6.083808
12.0,6.288024
13.0,6.236208
14.0,6.096
15.0,7.43712
16.0,7.62
17.0,7.62
18.0,6.394704000000001
19.0,6.245352
20.0,5.903976000000001
21.0,6.089904005813591
22.0,6.126479950584482
23.0,7.263384
24.0,7.263384
25.0,6.992112136619375
26.0,6.245352
27.0,6.224016029067952
28.0,6.044184052322313
29.0,6.083808
30.0,6.095999985466024
31.0,5.980176087203857
32.0,6.096000014533976
33.0,6.083808008720386
34.0,7.266432116271808
35.0,7.62
36.0,7.629143997093206
37.0,6.245351997093205
38.0,6.248399997093205
39.0,5.876544000000001
40.0,5.8826399970932055
41.0,6.09599999418641
42.0,6.092952
43.0,6.092952
44.0,5.593080104644628
45.0,5.830823877914601
46.0,6.096
47.0,6.086856002906795
48.0,7.619999976745638
49.0,7.62
50.0,7.62
51.0,6.184392077030067
52.0,6.196584098831029
53.0,7.3914
54.0,7.299959899715573
55.0,7.3914
56.0,7.345679952037884
57.0,5.8704477616428115
58.0,6.083808
59.0,6.105144015987373
60.0,5.864352043601925
61.0,6.31240801744077
62.0,5.913119973838845
63.0,5.382767981105833
64.0,6.102095998546603
65.0,6.092952
66.0,6.062471952037869
67.0,5.0292
68.0,5.050536039241744
69.0,6.077711956397986
70.0,6.248399938957178
71.0,6.922007861926951
72.0,7.263384
73.0,7.263384
74.0,6.464808077030228
75.0,6.2453520014534005
76.0,5.843016063949624
77.0,5.574792043602016
78.0,6.083808
79.0,6.230111976745593
80.0,6.19048794331738
81.0,6.096
82.0,6.470903883727959
83.0,7.549895921516372
84.0,7.62
85.0,7.245096107551639
86.0,6.245352
87.0,6.153912030521412
88.0,5.876544000000001
89.0,5.672328056682621
90.0,6.092952
91.0,6.092952
92.0,6.092952
93.0,5.312664034881612
94.0,6.092951979652393
95.0,6.096
96.0,6.510527879367756
97.0,7.6230479985466
98.0,7.62
99.0,7.6321919680252455
100.0,6.379463834312637
101.0,7.010400220916486
102.0,7.3914
103.0,6.937248142432998
104.0,7.3914
105.0,6.946391904075737
106.0,5.376672360442686
107.0,6.083808
108.0,6.163056002906796
109.0,6.147816020347571
110.0,6.373368
111.0,5.843015860473799
112.0,5.708904072669896
113.0,6.096
114.0,6.096
115.0,5.519927767456332
116.0,5.026152
117.0,5.492496197662118
118.0,6.096
119.0,6.699503999999946
120.0,7.272528
