t,Position,v_Vel,v_Acc
0.000000,-50.573330,1.127760,1.060704
0.100000,-50.519990,1.328928,2.828544
0.200000,-50.427026,1.688592,3.413760
0.300000,-50.297791,2.167128,3.413760
0.400000,-50.130761,2.645664,3.413760
0.500000,-49.927459,3.002280,2.828544
0.600000,-49.684534,3.203448,1.057656
0.700000,-49.448314,3.270504,0.042672
0.800000,-49.212398,3.270504,-0.088392
0.900000,-48.976178,3.264408,0.000000
1.000000,-48.740263,3.264408,0.000000
1.100000,-48.504043,3.264408,0.000000
1.200000,-48.268128,3.264408,0.000000
1.300000,-48.031908,3.264408,0.000000
1.400000,-47.795688,3.264408,0.000000
1.500000,-47.559773,3.267456,0.000000
1.600000,-47.323553,3.267456,0.000000
1.700000,-47.087638,3.267456,0.000000
1.800000,-46.851418,3.264408,0.000000
1.900000,-46.615502,3.261360,-0.042672
2.000000,-46.379282,3.261360,0.000000
2.100000,-46.143367,3.285744,0.393192
2.200000,-45.912634,3.361944,1.091184
2.300000,-45.663917,3.502152,1.767840
2.400000,-45.391121,3.685032,1.987296
2.500000,-45.098208,3.864864,1.658112
2.600000,-44.781216,3.995928,1.048512
2.700000,-44.446241,4.075176,0.457200
2.800000,-44.116447,4.105656,0.118872
2.900000,-43.786958,4.114800,0.000000
3.000000,-43.457470,4.111752,-0.033528
3.100000,-43.127676,4.114800,0.039624
3.200000,-42.796663,4.136136,0.344424
3.300000,-42.469308,4.197096,0.838200
3.400000,-42.146525,4.294632,1.219200
3.500000,-41.821303,4.410456,1.170432
3.600000,-41.488462,4.504944,0.743712
3.700000,-41.145866,4.556760,0.277368
3.800000,-40.799918,4.575048,0.024384
3.900000,-40.456104,4.575048,-0.027432
4.000000,-40.111985,4.572000,-0.015240
4.100000,-39.768170,4.572000,0.000000
4.200000,-39.424356,4.572000,0.000000
4.300000,-39.080237,4.572000,0.000000
4.400000,-38.736422,4.572000,0.000000
4.500000,-38.392608,4.572000,0.000000
4.600000,-38.048489,4.572000,0.000000
4.700000,-37.704674,4.572000,0.000000
4.800000,-37.360860,4.572000,0.000000
4.900000,-37.016741,4.572000,0.000000
5.000000,-36.672926,4.565904,-0.073152
5.100000,-36.329112,4.562856,-0.018288
5.200000,-35.984993,4.602480,0.624840
5.300000,-35.647884,4.733544,1.901952
5.400000,-35.285172,4.986528,3.258312
5.500000,-34.896552,5.334000,3.413760
5.600000,-34.482938,5.678424,3.264408
5.700000,-34.043112,5.934456,1.908048
5.800000,-33.577682,6.065520,0.618744
5.900000,-33.119263,6.105144,-0.024384
6.000000,-32.660539,6.099048,-0.073152
6.100000,-32.202120,6.096000,0.000000
6.200000,-31.743701,6.096000,0.000000
6.300000,-31.284977,6.096000,0.000000
6.400000,-30.826558,6.096000,0.000000
6.500000,-30.367834,6.096000,0.000000
6.600000,-29.909414,6.096000,0.000000
6.700000,-29.450690,6.096000,0.000000
6.800000,-28.992271,6.096000,0.000000
6.900000,-28.533852,6.096000,0.000000
7.000000,-28.075128,6.096000,0.000000
7.100000,-27.616709,6.096000,0.000000
7.200000,-27.157985,6.096000,0.000000
7.300000,-26.699566,6.096000,0.000000
7.400000,-26.241146,6.096000,0.000000
7.500000,-25.782422,6.096000,0.000000
7.600000,-25.324003,6.096000,0.000000
7.700000,-24.865279,6.096000,0.000000
7.800000,-24.406860,6.096000,0.000000
7.900000,-23.948136,6.096000,0.000000
8.000000,-23.489717,6.096000,0.000000
8.100000,-23.031298,6.096000,0.000000
8.200000,-22.572574,6.096000,0.000000
8.300000,-22.114154,6.096000,0.000000
8.400000,-21.655430,6.096000,0.000000
8.500000,-21.197011,6.096000,0.000000
8.600000,-20.738287,6.099048,0.070104
8.700000,-20.279868,6.105144,0.045720
8.800000,-19.821449,6.077712,-0.451104
8.900000,-19.358153,6.004560,-1.024128
9.000000,-18.905830,5.925312,-0.853440
9.100000,-18.471185,5.907024,0.316992
9.200000,-18.029225,6.004560,1.773936
9.300000,-17.567758,6.193536,2.243328
9.400000,-17.091965,6.376416,1.575816
9.500000,-16.595750,6.486144,0.585216
9.600000,-16.105937,6.522720,-0.036576
9.700000,-15.616123,6.516624,-0.088392
9.800000,-15.126310,6.510528,-0.009144
9.900000,-14.636496,6.510528,-0.018288
10.000000,-14.146682,6.510528,0.045720
10.100000,-13.657174,6.525768,0.219456
10.200000,-13.167360,6.559296,0.448056
10.300000,-12.676022,6.608064,0.563880
10.400000,-12.183161,6.656832,0.460248
10.500000,-11.688775,6.690360,0.222504
10.600000,-11.194085,6.705600,0.036576
10.700000,-10.699699,6.708648,-0.021336
10.800000,-10.205618,6.708648,0.033528
10.900000,-9.711233,6.711696,0.064008
11.000000,-9.216847,6.699504,-0.225552
11.100000,-8.719109,6.638544,-0.917448
11.200000,-8.226857,6.510528,-1.725168
11.300000,-7.755026,6.324600,-2.100072
11.400000,-7.295693,6.141720,-1.712976
11.500000,-6.856171,6.010656,-0.908304
11.600000,-6.422441,5.949696,-0.225552
11.700000,-5.985662,5.937504,0.054864
11.800000,-5.548579,5.940552,0.039624
11.900000,-5.111496,5.943600,0.000000
12.000000,-4.674413,5.940552,-0.024384
12.100000,-4.236415,5.940552,0.000000
12.200000,-3.801466,5.949696,0.124968
12.300000,-3.368954,5.971032,0.329184
12.400000,-2.931566,6.010656,0.463296
12.500000,-2.484120,6.050280,0.405384
12.600000,-2.026310,6.080760,0.213360
12.700000,-1.565758,6.096000,0.039624
12.800000,-1.107034,6.099048,-0.018288
12.900000,-0.648614,6.096000,-0.009144
13.000000,-0.189890,6.096000,0.000000
13.100000,0.268529,6.099048,0.067056
13.200000,0.726948,6.105144,0.064008
13.300000,1.185672,6.080760,-0.411480
13.400000,1.648663,5.995416,-1.240536
13.500000,2.101901,5.867400,-1.557528
13.600000,2.536546,5.766816,-0.731520
13.700000,2.969666,5.763768,0.728472
13.800000,3.423209,5.864352,1.527048
13.900000,3.889553,5.992368,1.197864
14.000000,4.372051,6.074664,0.445008
14.100000,4.849063,6.102096,-0.024384
14.200000,5.325770,6.099048,-0.067056
14.300000,5.802478,6.092952,-0.018288
14.400000,6.279490,6.089904,-0.045720
14.500000,6.756197,6.096000,0.091440
14.600000,7.233209,6.129528,0.521208
14.700000,7.709916,6.208776,1.072896
14.800000,8.185709,6.324600,1.341120
14.900000,8.659673,6.440424,1.072896
15.000000,9.132418,6.510528,0.387096
15.100000,9.605162,6.525768,-0.158496
15.200000,10.077907,6.516624,-0.173736
15.300000,10.550957,6.510528,0.042672
15.400000,11.023702,6.516624,0.204216
15.500000,11.496446,6.553200,0.445008
15.600000,11.965229,6.635496,1.060704
15.700000,12.444679,6.781800,1.892808
15.800000,12.945770,6.982968,2.289048
15.900000,13.461797,7.187184,1.914144
16.000000,14.000683,7.333488,1.072896
16.100000,14.546275,7.406640,0.298704
16.200000,15.086990,7.424928,-0.054864
16.300000,15.628315,7.418832,-0.048768
16.400000,16.172688,7.415784,0.000000
16.500000,16.717975,7.415784,0.006096
16.600000,17.262653,7.415784,0.009144
16.700000,17.807635,7.418832,0.000000
16.800000,18.352313,7.418832,0.000000
16.900000,18.897295,7.418832,-0.006096
17.000000,19.441973,7.415784,0.000000
17.100000,19.986650,7.415784,0.000000
17.200000,20.531633,7.415784,0.000000
17.300000,21.076310,7.412736,-0.082296
17.400000,21.621293,7.409688,-0.024384
17.500000,22.165970,7.449312,0.676656
17.600000,22.704247,7.595616,2.081784
17.700000,23.267822,7.869936,3.413760
17.800000,23.862182,8.244840,3.413760
17.900000,24.487937,8.625840,3.413760
18.000000,25.143866,8.915400,2.270760
