t,Position,v_Vel,v_Acc
0.000000,-66.312593,14.234160,-0.896112
0.100000,-65.248536,14.130528,-0.886968
0.200000,-64.195147,14.011656,-1.481328
0.300000,-63.161570,13.871448,-1.606296
0.400000,-62.145367,13.752576,-0.868680
0.500000,-61.105085,13.697712,-0.051816
0.600000,-60.067850,13.700760,0.158496
0.700000,-59.044027,13.709904,0.073152
0.800000,-58.016546,13.716000,0.012192
0.900000,-56.988761,13.716000,0.000000
1.000000,-55.960975,13.722096,0.073152
1.100000,-54.933494,13.725144,0.015240
1.200000,-53.905709,13.691616,-0.515112
1.300000,-52.871522,13.600176,-1.286256
1.400000,-51.857758,13.435584,-2.103120
1.500000,-50.857404,13.234416,-2.045208
1.600000,-49.868328,13.103352,-0.886968
1.700000,-48.881690,13.045440,-0.079248
1.800000,-47.888347,12.996672,-0.411480
1.900000,-46.907806,12.899136,-1.667256
2.000000,-45.948295,12.701016,-2.493264
2.100000,-45.006463,12.472416,-2.142744
2.200000,-44.079262,12.304776,-1.325880
2.300000,-43.172482,12.213336,-0.487680
2.400000,-42.258996,12.182856,0.030480
2.500000,-41.345510,12.185904,0.082296
2.600000,-40.432025,12.192000,0.000000
2.700000,-39.518539,12.192000,0.021336
2.800000,-38.605054,12.198096,0.048768
2.900000,-37.691568,12.192000,-0.103632
3.000000,-36.775949,12.155424,-0.566928
3.100000,-35.862463,12.067032,-1.161288
3.200000,-34.959646,11.945112,-1.447800
3.300000,-34.070239,11.823192,-1.106424
3.400000,-33.192415,11.740896,-0.502920
3.500000,-32.317944,11.682984,-0.445008
3.600000,-31.437682,11.597640,-1.130808
3.700000,-30.567478,11.439144,-2.109216
3.800000,-29.719524,11.207496,-2.670048
3.900000,-28.887115,10.963656,-2.334768
4.000000,-28.076347,10.783824,-1.399032
4.100000,-27.277466,10.686288,-0.438912
4.200000,-26.474014,10.658856,0.048768
4.300000,-25.670866,10.664952,0.054864
4.400000,-24.867413,10.668000,0.000000
4.500000,-24.064265,10.668000,0.000000
4.600000,-23.260812,10.668000,0.000000
4.700000,-22.457664,10.668000,0.000000
4.800000,-21.654211,10.668000,0.000000
4.900000,-20.851063,10.668000,0.000000
5.000000,-20.047610,10.668000,0.000000
5.100000,-19.244462,10.661904,-0.076200
5.200000,-18.441010,10.658856,-0.018288
5.300000,-17.637862,10.692384,0.515112
5.400000,-16.841114,10.783824,1.286256
5.500000,-16.023946,10.920984,1.664208
5.600000,-15.193061,11.064240,1.304544
5.700000,-14.351203,11.155680,0.505968
5.800000,-13.506298,11.180064,-0.024384
5.900000,-12.661697,11.183112,-0.067056
6.000000,-11.826545,11.177016,-0.012192
6.100000,-10.981639,11.173968,0.000000
6.200000,-10.137038,11.173968,-0.067056
6.300000,-9.301886,11.170920,0.000000
6.400000,-8.456981,11.195304,0.469392
6.500000,-7.619086,11.259312,0.807720
6.600000,-6.770522,11.338560,0.877824
6.700000,-5.904281,11.430000,0.929640
6.800000,-5.049012,11.524488,0.874776
6.900000,-4.176370,11.594592,0.722376
7.000000,-3.292754,11.655552,0.441960
7.100000,-2.416150,11.713464,0.512064
7.200000,-1.536802,11.801856,1.222248
7.300000,-0.646176,11.939016,1.664208
7.400000,0.257861,12.076176,1.286256
7.500000,1.182624,12.167616,0.518160
7.600000,2.100682,12.195048,-0.091440
7.700000,3.018739,12.188952,-0.097536
7.800000,3.937102,12.216384,0.509016
7.900000,4.848454,12.307824,1.277112
8.000000,5.780532,12.438888,1.581912
8.100000,6.725717,12.591288,1.502664
8.200000,7.682484,12.746736,1.441704
8.300000,8.635289,12.886944,1.475232
8.400000,9.607601,13.024104,1.325880
8.500000,10.586009,13.133832,0.853440
8.600000,11.584229,13.222224,0.795528
8.700000,12.578486,13.328904,1.277112
8.800000,13.584022,13.469112,1.584960
8.900000,14.602968,13.600176,1.283208
9.000000,15.642336,13.691616,0.512064
9.100000,16.675303,13.725144,-0.018288
9.200000,17.707966,13.722096,-0.079248
9.300000,18.740933,13.716000,0.000000
9.400000,19.773595,13.716000,0.000000
9.500000,20.806562,13.709904,-0.091440
9.600000,21.839225,13.709904,0.024384
9.700000,22.872192,13.773912,1.005840
9.800000,23.897539,13.965936,2.734056
9.900000,24.960072,14.313408,3.413760
10.000000,26.055218,14.776704,3.413760
10.100000,27.185112,15.243048,3.413760
10.200000,28.347619,15.596616,2.791968
10.300000,29.547617,15.779496,0.853440
10.400000,30.742738,15.797784,-0.685800
10.500000,31.934810,15.694152,-1.475232
10.600000,33.109814,15.538704,-1.700784
10.700000,34.272931,15.389352,-1.377696
10.800000,35.419284,15.288768,-0.701040
10.900000,36.562894,15.240000,-0.146304
11.000000,37.709246,15.233904,0.064008
11.100000,38.855599,15.240000,0.033528
11.200000,40.002257,15.224760,-0.268224
11.300000,41.148610,15.185136,-0.505968
11.400000,42.294962,15.157704,-0.243840
11.500000,43.441315,15.157704,0.240792
11.600000,44.587668,15.185136,0.499872
11.700000,45.734021,15.224760,0.268224
