t,Position,v_Vel,v_Acc
0.000000,-93.970754,7.620000,0.000000
0.100000,-93.397730,7.620000,0.000000
0.200000,-92.824402,7.620000,0.000000
0.300000,-92.251073,7.620000,0.000000
0.400000,-91.678049,7.620000,0.000000
0.500000,-91.104720,7.620000,0.000000
0.600000,-90.531696,7.620000,0.000000
0.700000,-89.958367,7.620000,0.000000
0.800000,-89.385343,7.620000,0.000000
0.900000,-88.812014,7.620000,0.000000
1.000000,-88.238990,7.620000,0.000000
1.100000,-87.665662,7.626096,0.076200
1.200000,-87.092638,7.629144,0.021336
1.300000,-86.519309,7.598664,-0.487680
1.400000,-85.939579,7.507224,-1.319784
1.500000,-85.380271,7.339584,-2.109216
1.600000,-84.835289,7.110984,-2.514600
1.700000,-84.308290,6.858000,-2.575560
1.800000,-83.803541,6.605016,-2.517648
1.900000,-83.316775,6.376416,-2.109216
2.000000,-82.844335,6.208776,-1.313688
2.100000,-82.392317,6.117336,-0.487680
2.200000,-81.933898,6.092952,0.097536
2.300000,-81.475478,6.099048,0.097536
2.400000,-81.016754,6.074664,-0.490728
2.500000,-80.551630,5.980176,-1.319784
2.600000,-80.106926,5.815584,-2.109216
2.700000,-79.676854,5.586984,-2.511552
2.800000,-79.264459,5.334000,-2.569464
2.900000,-78.874315,5.081016,-2.508504
3.000000,-78.502154,4.852416,-2.112264
3.100000,-78.144014,4.690872,-1.243584
3.200000,-77.806906,4.602480,-0.469392
3.300000,-77.463091,4.532376,-0.609600
3.400000,-77.112266,4.410456,-1.712976
3.500000,-76.787350,4.197096,-2.755392
3.600000,-76.483464,3.934968,-2.700528
3.700000,-76.195428,3.718560,-1.740408
3.800000,-75.931471,3.572256,-1.024128
3.900000,-75.665686,3.453384,-1.155192
4.000000,-75.399900,3.322320,-1.554480
4.100000,-75.152707,3.182112,-1.463040
4.200000,-74.914963,3.063240,-0.883920
4.300000,-74.672952,2.993136,-0.399288
4.400000,-74.439170,2.962656,-0.213360
4.500000,-74.209351,2.947416,-0.082296
4.600000,-73.977703,2.944368,0.012192
4.700000,-73.746055,2.944368,0.012192
4.800000,-73.514407,2.944368,0.000000
4.900000,-73.282759,2.947416,0.000000
5.000000,-73.051111,2.947416,0.000000
5.100000,-72.819463,2.947416,0.000000
5.200000,-72.587815,2.947416,0.000000
5.300000,-72.356167,2.944368,0.000000
5.400000,-72.124519,2.947416,0.000000
5.500000,-71.892871,2.947416,0.000000
5.600000,-71.660918,2.947416,0.000000
5.700000,-71.429270,2.947416,0.000000
5.800000,-71.197622,2.947416,0.000000
5.900000,-70.965974,2.947416,0.000000
6.000000,-70.734326,2.947416,0.000000
6.100000,-70.502678,2.947416,0.000000
6.200000,-70.271030,2.947416,0.000000
6.300000,-70.039382,2.947416,0.000000
6.400000,-69.807734,2.947416,0.000000
6.500000,-69.576086,2.947416,0.000000
6.600000,-69.344438,2.947416,0.000000
6.700000,-69.112790,2.947416,0.000000
6.800000,-68.880838,2.947416,0.000000
6.900000,-68.649190,2.944368,-0.042672
7.000000,-68.415103,2.938272,-0.060960
7.100000,-68.185589,2.938272,0.009144
7.200000,-67.965828,2.947416,0.185928
7.300000,-67.750334,2.974848,0.350520
7.400000,-67.532402,2.999232,0.234696
7.500000,-67.305326,3.011424,-0.009144
7.600000,-67.073678,3.017520,0.024384
7.700000,-66.844469,3.023616,0.106680
7.800000,-66.615259,3.002280,-0.283464
7.900000,-66.379344,2.929128,-1.191768
8.000000,-66.163850,2.764536,-2.185416
8.100000,-65.962987,2.532888,-2.511552
8.200000,-65.778278,2.340864,-1.603248
8.300000,-65.621611,2.286000,0.292608
8.400000,-65.453971,2.404872,2.298192
8.500000,-65.261338,2.648712,2.895600
8.600000,-65.059255,2.859024,1.600200
8.700000,-64.823950,2.938272,-0.076200
8.800000,-64.606627,2.910840,-0.844296
8.900000,-64.401802,2.846832,-0.530352
9.000000,-64.192099,2.813304,0.000000
9.100000,-63.982702,2.816352,0.067056
9.200000,-63.773304,2.819400,0.000000
9.300000,-63.563602,2.819400,0.000000
9.400000,-63.354204,2.819400,0.000000
9.500000,-63.144806,2.819400,0.000000
9.600000,-62.935409,2.819400,0.000000
9.700000,-62.725706,2.819400,0.000000
9.800000,-62.516004,2.819400,0.000000
9.900000,-62.306911,2.819400,0.000000
10.000000,-62.099647,2.819400,0.000000
10.100000,-61.892993,2.819400,0.000000
10.200000,-61.685729,2.819400,0.000000
10.300000,-61.476636,2.819400,0.006096
10.400000,-61.266934,2.819400,0.000000
10.500000,-61.057231,2.819400,0.000000
10.600000,-60.847834,2.819400,0.000000
10.700000,-60.638436,2.819400,0.000000
10.800000,-60.429038,2.819400,0.000000
10.900000,-60.219336,2.819400,0.000000
11.000000,-60.009938,2.819400,-0.006096
11.100000,-59.800541,2.819400,0.000000
11.200000,-59.590838,2.819400,0.000000
11.300000,-59.381441,2.819400,0.000000
11.400000,-59.172043,2.819400,0.000000
11.500000,-58.962646,2.819400,0.000000
11.600000,-58.752943,2.819400,0.000000
11.700000,-58.543546,2.819400,0.000000
11.800000,-58.334148,2.819400,0.000000
11.900000,-58.124446,2.819400,0.000000
12.000000,-57.915048,2.819400,0.000000
12.100000,-57.705650,2.819400,0.000000
12.200000,-57.496253,2.819400,0.000000
12.300000,-57.286550,2.819400,0.000000
12.400000,-57.077153,2.819400,0.000000
12.500000,-56.867755,2.819400,0.000000
12.600000,-56.658358,2.819400,0.000000
12.700000,-56.448655,2.819400,0.000000
12.800000,-56.239258,2.819400,0.000000
12.900000,-56.029860,2.819400,0.000000
13.000000,-55.820158,2.819400,0.000000
13.100000,-55.610760,2.819400,0.000000
13.200000,-55.401362,2.819400,0.000000
13.300000,-55.191965,2.819400,0.000000
13.400000,-54.982262,2.819400,0.000000
13.500000,-54.772865,2.819400,0.000000
13.600000,-54.563467,2.819400,0.000000
13.700000,-54.354070,2.819400,0.000000
13.800000,-54.144367,2.819400,0.000000
13.900000,-53.934970,2.819400,0.000000
14.000000,-53.725572,2.819400,0.000000
14.100000,-53.515870,2.819400,0.000000
14.200000,-53.306472,2.819400,-0.006096
14.300000,-53.097074,2.819400,0.000000
14.400000,-52.887677,2.819400,0.000000
14.500000,-52.677974,2.819400,0.000000
14.600000,-52.468577,2.819400,0.000000
14.700000,-52.259179,2.819400,0.000000
14.800000,-52.049782,2.819400,0.000000
14.900000,-51.840079,2.819400,0.000000
15.000000,-51.630682,2.819400,0.000000
15.100000,-51.421284,2.819400,0.000000
15.200000,-51.211582,2.819400,0.000000
15.300000,-51.002184,2.819400,0.000000
15.400000,-50.792786,2.819400,0.000000
15.500000,-50.583389,2.819400,0.000000
15.600000,-50.373686,2.819400,0.000000
15.700000,-50.164289,2.819400,0.000000
15.800000,-49.954891,2.819400,0.000000
15.900000,-49.745189,2.819400,0.000000
16.000000,-49.535791,2.819400,0.000000
16.100000,-49.326394,2.819400,0.000000
16.200000,-49.116996,2.819400,0.000000
16.300000,-48.907294,2.819400,0.000000
16.400000,-48.697896,2.819400,0.000000
16.500000,-48.488498,2.819400,0.000000
16.600000,-48.279101,2.819400,0.000000
16.700000,-48.069398,2.819400,0.000000
16.800000,-47.860001,2.819400,0.000000
16.900000,-47.650603,2.819400,0.000000
17.000000,-47.440901,2.819400,0.000000
17.100000,-47.231503,2.813304,-0.091440
